UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1321     1  1321  0    2 12:21 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1321     1  1326  0    2 12:21 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1322  1043  1322  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1322  1043  1411  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1322  1043  1421  0    3 12:21 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1324  1043  1324  0    2 12:21 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1324  1043  1373  0    2 12:21 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1328     1  1328  0    1 12:21 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
oscread+  1338     1  1338  0    3 12:21 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1338     1  1352  0    3 12:21 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1338     1  1436  0    3 12:21 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1353  1338  1353  0    1 12:21 ?        00:00:00 /bin/cat
oscread+  1375     1  1375  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1375     1  1376  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1375     1  1377  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1375     1  1379  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1375     1  1392  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1375     1  1395  0    6 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1397     1  1397  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1397     1  1398  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
oscread+  1413     1  1413  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
oscread+  1413     1  1414  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
oscread+  1413     1  1416  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
oscread+  1439     1  1439  0    4 12:21 ?        00:00:01 /usr/lib/gnome-terminal/gnome-terminal-server
oscread+  1439     1  1440  0    4 12:21 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
